public_date,cve_count
2021-05-26T00:00:00Z,3
2021-05-25T00:00:00Z,3
2021-05-24T00:00:00Z,1
2021-05-21T00:00:00Z,2
2021-05-20T00:00:00Z,3
2021-05-19T10:00:00Z,1
2021-05-19T00:00:00Z,1
2021-05-18T00:00:00Z,3
2021-05-17T00:00:00Z,4
2021-05-16T00:00:00Z,1
2021-05-13T00:00:00Z,9
2021-05-12T01:20:00Z,1
2021-05-12T00:00:00Z,3
2021-05-11T19:00:00Z,4
2021-05-11T16:59:00Z,1
2021-05-11T14:00:00Z,1
2021-05-11T00:00:00Z,13
2021-05-10T17:00:00Z,1
2021-05-10T16:53:00Z,1
2021-05-10T00:00:00Z,8
2021-05-06T00:00:00Z,2
2021-05-05T00:00:00Z,7
2021-05-04T00:00:00Z,9
2021-05-03T00:00:00Z,1
2021-05-01T00:00:00Z,1
2021-04-30T00:00:00Z,3
2021-04-29T00:00:00Z,6
2021-04-28T00:00:00Z,7
2021-04-27T00:00:00Z,3
2021-04-26T00:00:00Z,4
2021-04-25T00:00:00Z,1
2021-04-23T00:00:00Z,4
2021-04-22T00:00:00Z,7
2021-04-21T00:00:00Z,7
2021-04-20T00:00:00Z,42
2021-04-19T00:00:00Z,10
2021-04-18T09:00:00Z,1
2021-04-18T00:00:00Z,3
2021-04-16T00:00:00Z,4
2021-04-15T00:00:00Z,4
2021-04-14T00:00:00Z,4
2021-04-13T14:00:00Z,1
2021-04-13T09:30:00Z,1
2021-04-12T09:00:00Z,1
2021-04-12T00:00:00Z,9
2021-04-09T17:15:00Z,1
2021-04-09T00:00:00Z,4
2021-04-08T00:00:00Z,6
2021-04-07T00:00:00Z,2
2021-04-06T08:00:00Z,1
2021-04-06T00:00:00Z,1
2021-04-05T00:00:00Z,3
2021-04-04T00:00:00Z,2
2021-04-02T00:00:00Z,2
2021-04-01T00:00:00Z,12
2021-03-31T00:00:00Z,2
2021-03-30T10:00:00Z,3
2021-03-30T00:00:00Z,2
2021-03-29T00:00:00Z,8
2021-03-28T00:00:00Z,2
2021-03-27T00:00:00Z,1
2021-03-26T00:00:00Z,1
2021-03-25T00:00:00Z,4
2021-03-24T00:00:00Z,4
2021-03-23T00:00:00Z,9
2021-03-22T00:00:00Z,16
2021-03-21T00:00:00Z,1
2021-03-19T00:00:00Z,7
2021-03-18T13:00:00Z,4
2021-03-18T00:00:00Z,1
2021-03-17T06:30:00Z,1
2021-03-17T00:00:00Z,6
2021-03-16T17:02:00Z,1
2021-03-16T00:00:00Z,5
2021-03-15T00:00:00Z,10
2021-03-14T00:00:00Z,4
2021-03-12T09:54:00Z,1
2021-03-12T09:49:00Z,1
2021-03-12T00:00:00Z,16
2021-03-11T22:53:00Z,1
2021-03-11T22:51:00Z,1
2021-03-11T22:49:00Z,2
2021-03-11T22:48:00Z,1
2021-03-11T06:00:00Z,1
2021-03-11T00:00:00Z,2
2021-03-10T00:00:00Z,10
2021-03-09T18:00:00Z,1
2021-03-09T00:00:00Z,6
2021-03-08T20:30:00Z,1
2021-03-08T00:00:00Z,8
2021-03-07T00:00:00Z,4
2021-03-05T00:40:00Z,1
2021-03-05T00:00:00Z,8
2021-03-04T00:00:00Z,3
2021-03-03T00:00:00Z,5
2021-03-02T18:00:00Z,9
2021-03-02T00:00:00Z,3
2021-03-01T20:00:00Z,1
2021-03-01T00:00:00Z,12
2021-02-28T00:00:00Z,5
2021-02-26T00:00:00Z,2
2021-02-25T00:00:00Z,22
2021-02-24T00:00:00Z,6
2021-02-23T00:00:00Z,7
2021-02-22T00:00:00Z,4
2021-02-20T00:00:00Z,1
2021-02-19T19:30:00Z,1
2021-02-19T00:00:00Z,2
2021-02-18T17:44:00Z,1
2021-02-18T00:00:00Z,6
2021-02-17T00:00:00Z,11
2021-02-16T00:00:00Z,6
2021-02-15T00:00:00Z,7
2021-02-14T00:00:00Z,1
2021-02-13T00:00:00Z,2
2021-02-12T00:00:00Z,2
2021-02-11T00:00:00Z,10
2021-02-10T12:00:00Z,1
2021-02-10T00:00:00Z,11
2021-02-09T18:52:00Z,1
2021-02-09T00:00:00Z,3
2021-02-08T00:00:00Z,4
2021-02-05T00:00:00Z,5
2021-02-04T00:00:00Z,7
2021-02-03T00:00:00Z,5
2021-02-02T00:00:00Z,9
2021-02-01T10:00:00Z,1
2021-02-01T00:00:00Z,8
2021-01-31T00:00:00Z,1
2021-01-30T00:00:00Z,1
2021-01-29T00:00:00Z,9
2021-01-28T00:00:00Z,3
2021-01-27T00:00:00Z,3
2021-01-26T18:00:00Z,1
2021-01-26T00:00:00Z,21
2021-01-25T00:00:00Z,1
2021-01-24T00:00:00Z,1
2021-01-23T00:00:00Z,1
2021-01-22T10:00:00Z,1
2021-01-22T00:00:00Z,3
2021-01-21T00:00:00Z,3
2021-01-20T00:00:00Z,5
2021-01-19T00:00:00Z,55
2021-01-18T00:00:00Z,4
2021-01-17T00:00:00Z,1
2021-01-16T00:00:00Z,3
2021-01-15T00:00:00Z,2
2021-01-14T00:00:00Z,6
2021-01-13T00:00:00Z,15
2021-01-12T17:00:00Z,1
2021-01-12T04:35:00Z,1
2021-01-12T00:00:00Z,2
2021-01-11T00:00:00Z,8
2021-01-10T00:00:00Z,1
2021-01-09T00:00:00Z,1
2021-01-08T00:00:00Z,2
2021-01-07T00:00:00Z,1
2021-01-06T00:00:00Z,2
2021-01-05T00:00:00Z,3
2021-01-04T00:00:00Z,5
2021-01-03T00:00:00Z,4
2021-01-02T00:00:00Z,2
2021-01-01T00:00:00Z,3
